af,[-0.00242153 -0.01682412]
am,[-0.00335672  0.00758626]
ar,[-0.0068557   0.01170405]
az,[0.0020072  0.00433269]
be,[-0.01175363  0.02957656]
bg,[-0.01297723  0.01632008]
bn,[-0.02220881 -0.00340952]
ca,[-0.0128562  -0.02472032]
ceb,[ 0.01264325 -0.01106357]
co,[-0.00513892 -0.01615398]
cs,[-0.01143438  0.00212854]
cy,[ 0.00437046 -0.00599833]
da,[-0.0042739  -0.01975198]
de,[-0.00527427 -0.00873825]
el,[0.00389712 0.00902194]
eo,[-0.00459395 -0.00905033]
es,[-0.01432563 -0.02729634]
et,[-0.00478223 -0.00110365]
eu,[ 8.73658693e-06 -5.07832737e-03]
fa,[-0.00325048  0.01402379]
fi,[-0.00436309 -0.00332032]
fr,[-0.0080502  -0.01144435]
fy,[ 0.00034037 -0.01703218]
ga,[ 0.00506901 -0.00092492]
gd,[ 0.01433554 -0.00285522]
gl,[-0.01236736 -0.02255954]
gu,[-0.01005791  0.00843342]
ha,[ 1.34544546e-02 -5.30091802e-05]
haw,[0.03290417 0.00074898]
hi,[-0.02135792  0.01093075]
hmn,[ 0.03037187 -0.0006234 ]
hr,[-0.00908541  0.00094747]
ht,[ 0.00447436 -0.00823259]
hu,[-0.00384178 -0.00094651]
hy,[0.00815146 0.020898  ]
id,[ 0.01054932 -0.02423394]
ig,[ 0.02189807 -0.00029831]
is,[ 0.00096367 -0.00245917]
it,[-0.00955759 -0.01671413]
iw,[-0.00582221  0.01265946]
ja,[-0.00074338  0.01179485]
jw,[ 0.00960824 -0.01601841]
ka,[0.01558765 0.02593313]
kk,[-0.00487947  0.02601008]
km,[-0.0085106  -0.02619568]
kn,[-0.00780946  0.00543474]
ko,[0.00908199 0.01421041]
ku,[ 0.00857625 -0.00094547]
ky,[-3.68868556e-05  1.92561218e-02]
lb,[-0.00255897 -0.01248977]
lo,[0.04098755 0.0114621 ]
lt,[-0.01054597  0.00110231]
lv,[-0.00757796  0.00299966]
mg,[ 0.01205887 -0.00277513]
mi,[ 0.02405133 -0.00161265]
mk,[-0.01484223  0.01250669]
ml,[-0.01288753 -0.00238643]
mn,[0.0007924  0.01679802]
mr,[-0.02427566  0.0060054 ]
ms,[ 0.01111728 -0.02063855]
mt,[-0.00388014 -0.00777505]
my,[0.0322058  0.01257572]
ne,[-0.01402812  0.00839716]
nl,[-0.00464115 -0.01930921]
no,[-0.00378537 -0.0196749 ]
ny,[ 0.01425783 -0.00261805]
pa,[-0.00960932  0.00866624]
pl,[-0.00533199 -0.00012259]
ps,[-0.01351742  0.00591989]
pt,[-0.01082324 -0.02175946]
ro,[-0.00685322 -0.01150187]
ru,[-0.01621371  0.02960788]
sd,[-0.01522334  0.00185826]
si,[-0.00732906 -0.00034575]
sk,[-0.01241394  0.00266152]
sl,[-0.00722762 -0.00069485]
sm,[2.88936155e-02 9.61267333e-05]
sn,[ 0.00700248 -0.00178207]
so,[0.00237703 0.00018678]
sq,[-0.00078635 -0.0082529 ]
sr,[-0.00143183  0.01111902]
st,[ 0.01809195 -0.00181582]
su,[ 0.01139548 -0.01286801]
sv,[-0.00514749 -0.01572753]
sw,[ 0.00527766 -0.00409244]
ta,[-0.00831965  0.00397511]
te,[-0.00256     0.01519157]
tg,[0.00156629 0.01799757]
th,[0.01541931 0.01337051]
tl,[ 0.00880842 -0.01231276]
tr,[-0.00022319  0.00053215]
uk,[-0.0125444   0.02030047]
ur,[-0.01835889  0.0085869 ]
uz,[-0.00344645  0.01095321]
vi,[0.0183351  0.00159229]
xh,[-0.00481147 -0.00120924]
yi,[0.00900949 0.00925435]
yo,[ 0.02407514 -0.00445949]
zh,[-0.00422785  0.00822853]
zu,[-0.00086047  0.000594  ]