Language Pair,Finetuning Language Pair,Relative BLEU Change
hr-en,sr-en,0.0482156715607
ht-en,sr-en,-0.785805869267
hu-en,sr-en,-0.718583808932
hy-en,sr-en,-0.729747527223
id-en,sr-en,-0.413282325506
ig-en,sr-en,-0.681930309169
is-en,sr-en,-0.582823828693
it-en,sr-en,-0.367947160162
iw-en,sr-en,-0.278635324234
ja-en,sr-en,-0.500771894403
jw-en,sr-en,-0.712510582707
ka-en,sr-en,-0.589922694458
kk-en,sr-en,-0.565418926794
km-en,sr-en,-0.491544131943
kn-en,sr-en,-0.637259974848
ko-en,sr-en,-0.401532149388
ku-en,sr-en,-0.861332504864
ky-en,sr-en,-1.0
lb-en,sr-en,-0.622839108911
lo-en,sr-en,-0.506098296479
lt-en,sr-en,-0.442125826197
lv-en,sr-en,-0.578118290228
mg-en,sr-en,-0.806804283427
mi-en,sr-en,-0.637911122718
mk-en,sr-en,-0.0580993220045
ml-en,sr-en,-0.901326084988
mn-en,sr-en,-0.826217136785
mr-en,sr-en,-0.767929026863
ms-en,sr-en,-0.449585506007
mt-en,sr-en,-0.438644524243
my-en,sr-en,-0.783443019296
ne-en,sr-en,-0.652372591487
nl-en,sr-en,-0.340124270001
no-en,sr-en,-0.390998215314
ny-en,sr-en,-0.772778114305
pa-en,sr-en,-0.7085764917
pl-en,sr-en,-0.543020563142
ps-en,sr-en,-0.604591807287
pt-en,sr-en,-0.29328417216
ro-en,sr-en,-0.30579321745
ru-en,sr-en,-0.614741131329
sd-en,sr-en,-0.831206177458
si-en,sr-en,-0.859763738703
sk-en,sr-en,-0.423109898145
sl-en,sr-en,-0.161191500648
sm-en,sr-en,-0.806806544512
sn-en,sr-en,-0.863434437839
so-en,sr-en,-0.658376650734
sq-en,sr-en,-0.532138636614
sr-en,sr-en,0.136948823923
st-en,sr-en,-0.86705354775
su-en,sr-en,-0.756983253531
sv-en,sr-en,-0.382870935709
sw-en,sr-en,-0.621539846349
ta-en,sr-en,-0.876001647288
te-en,sr-en,-0.66212714867
tg-en,sr-en,-0.639804169326
th-en,sr-en,-0.559085735952
tl-en,sr-en,-0.303845103192
tr-en,sr-en,-0.741603869277
uk-en,sr-en,-0.337583712382
ur-en,sr-en,-0.526849811011
uz-en,sr-en,-0.707056244254
vi-en,sr-en,-0.551120847136
xh-en,sr-en,-0.861492621998
yi-en,sr-en,-0.314292872702
yo-en,sr-en,-0.818581418426
zh-en,sr-en,-0.275724848641
zu-en,sr-en,-0.774242167071
af-en,ko-en,-0.235820471351
am-en,ko-en,-0.562119142932
ar-en,ko-en,-0.739868570544
az-en,ko-en,-0.481655176382
be-en,ko-en,-0.389112331587
bg-en,ko-en,-0.315009078773
bn-en,ko-en,-0.541395136052
bs-en,ko-en,-0.257555720843
ca-en,ko-en,-0.274298559708
ceb-en,ko-en,-0.558908295686
co-en,ko-en,-0.44622522239
cs-en,ko-en,-0.289310520533
cy-en,ko-en,-0.644031690678
da-en,ko-en,-0.28226710722
de-en,ko-en,-0.291191668215
el-en,ko-en,-0.389875898954
eo-en,ko-en,-0.265721053435
es-en,ko-en,-0.228424480467
et-en,ko-en,-0.576489836382
eu-en,ko-en,-0.630057110441
fa-en,ko-en,-0.531740904276
fi-en,ko-en,-0.524161939958
fr-en,ko-en,-0.272043383313
fy-en,ko-en,-0.631712698928
ga-en,ko-en,-0.574871759902
gd-en,ko-en,-0.744435957939
gl-en,ko-en,-0.190992306107
gu-en,ko-en,-0.433865173777
ha-en,ko-en,-0.806499573608
haw-en,ko-en,-0.671196690602
hi-en,ko-en,-0.309684108698
hmn-en,ko-en,-0.472028069405
hr-en,ko-en,-0.258890617222
ht-en,ko-en,-0.432174741884
hu-en,ko-en,-0.357191927471
hy-en,ko-en,-0.481518100745
id-en,ko-en,-0.379444291397
ig-en,ko-en,-0.592092513457
is-en,ko-en,-0.4226923559
it-en,ko-en,-0.26328040825
iw-en,ko-en,-0.759844345724
ja-en,ko-en,-0.239102758786
jw-en,ko-en,-0.700419454021
ka-en,ko-en,-0.446737167903
kk-en,ko-en,-0.464953633145
km-en,ko-en,-0.459863682066
kn-en,ko-en,-0.519520576602
ko-en,ko-en,0.100693134662
ku-en,ko-en,-0.812502239561
ky-en,ko-en,-0.716001649903
lb-en,ko-en,-0.511705044879
lo-en,ko-en,-0.498874473473
lt-en,ko-en,-0.503299973242
lv-en,ko-en,-0.401168149936
mg-en,ko-en,-0.695281493993
mi-en,ko-en,-0.562274166818
mk-en,ko-en,-0.278991325716
ml-en,ko-en,-0.770301627956
mn-en,ko-en,-0.423314362882
mr-en,ko-en,-0.492977938081
ms-en,ko-en,-0.408078484762
mt-en,ko-en,-0.363146685095
my-en,ko-en,-0.376320603461
ne-en,ko-en,-0.467880105849
nl-en,ko-en,-0.221159280328
no-en,ko-en,-0.256498347271
ny-en,ko-en,-0.65864201734
pa-en,ko-en,-0.550140064654
pl-en,ko-en,-0.323560536322
ps-en,ko-en,-0.691547336469
pt-en,ko-en,-0.208400751367
ro-en,ko-en,-0.301119426658
ru-en,ko-en,-0.303209153401
sd-en,ko-en,-0.884868623033
si-en,ko-en,-0.558207401458
sk-en,ko-en,-0.313349515443
sl-en,ko-en,-0.320325820821
sm-en,ko-en,-0.781861681518
sn-en,ko-en,-0.818850286127
so-en,ko-en,-0.769519925036
sq-en,ko-en,-0.339970037569
sr-en,ko-en,-0.569637621078
st-en,ko-en,-0.748356812071
su-en,ko-en,-0.653331746178
sv-en,ko-en,-0.22784171025
sw-en,ko-en,-0.658749370434
ta-en,ko-en,-0.584415535575
te-en,ko-en,-0.54729698502
tg-en,ko-en,-0.735392105789
th-en,ko-en,-0.621403088316
tl-en,ko-en,-0.411430306905
tr-en,ko-en,-0.501474284746
uk-en,ko-en,-0.315386409307
ur-en,ko-en,-0.542888574016
uz-en,ko-en,-0.636859345619
vi-en,ko-en,-0.398867372782
xh-en,ko-en,-0.738837952158
yi-en,ko-en,-0.393910113522
yo-en,ko-en,-0.703912419753
zh-en,ko-en,-0.326412449876
zu-en,ko-en,-0.684195884894
af-en,az-en,-0.162423611093
am-en,az-en,-0.227132513842
ar-en,az-en,-0.253239843597
az-en,az-en,0.0385524718545
be-en,az-en,-0.182405398878
bg-en,az-en,-0.144324871781
bn-en,az-en,-0.182094392626
bs-en,az-en,-0.137377116736
ca-en,az-en,-0.123130332752
ceb-en,az-en,-0.290521002197
co-en,az-en,-0.215853907283
cs-en,az-en,-0.141254671835
cy-en,az-en,-0.238662067171
da-en,az-en,-0.134007277586
de-en,az-en,-0.13101254799
el-en,az-en,-0.145339745925
eo-en,az-en,-0.151652193322
es-en,az-en,-0.110130724206
et-en,az-en,-0.465125072824
eu-en,az-en,-0.645391198879
fa-en,az-en,-0.215455632882
fi-en,az-en,-0.255521750941
fr-en,az-en,-0.112058982309
fy-en,az-en,-0.432459671958
ga-en,az-en,-0.322063227819
gd-en,az-en,-0.385169548974
gl-en,az-en,-0.0805790329773
gu-en,az-en,-0.189778790672
ha-en,az-en,-0.710434626083
haw-en,az-en,-0.340674131531
hi-en,az-en,-0.140661348643
hmn-en,az-en,-0.39019689645
hr-en,az-en,-0.141569424423
ht-en,az-en,-0.382360025738
hu-en,az-en,-0.389195360527
hy-en,az-en,-0.172709464243
id-en,az-en,-0.194357715837
ig-en,az-en,-0.521516621857
is-en,az-en,-0.285257711272
it-en,az-en,-0.129146439265
iw-en,az-en,-0.209959573356
ja-en,az-en,-0.154566904325
jw-en,az-en,-0.535510801194
ka-en,az-en,-0.149338495239
kk-en,az-en,-0.225068116037
km-en,az-en,-0.180385761269
kn-en,az-en,-0.200284788685
ko-en,az-en,-0.119256738864
ku-en,az-en,-0.675950840992
ky-en,az-en,-0.309514039231
lb-en,az-en,-0.238413706984
lo-en,az-en,-0.294282370229
lt-en,az-en,-0.200220228038
lv-en,az-en,-0.178854567498
mg-en,az-en,-0.373386088157
mi-en,az-en,-0.475952301955
mk-en,az-en,-0.135435147079
ml-en,az-en,-0.245849478646
mn-en,az-en,-0.339658951361
mr-en,az-en,-0.181801801115
ms-en,az-en,-0.216185461052
mt-en,az-en,-0.278291372279
my-en,az-en,-0.211150917836
ne-en,az-en,-0.209435100428
nl-en,az-en,-0.140903601262
no-en,az-en,-0.113578766293
ny-en,az-en,-0.44144247484
pa-en,az-en,-0.207163425373
pl-en,az-en,-0.143516912733
ps-en,az-en,-0.237560571253
pt-en,az-en,-0.118981748114
ro-en,az-en,-0.160929712236
ru-en,az-en,-0.124466667457
sd-en,az-en,-0.402936801372
si-en,az-en,-0.219738032961
sk-en,az-en,-0.156200508953
sl-en,az-en,-0.18458983362
sm-en,az-en,-0.401783534874
sn-en,az-en,-0.602130458408
so-en,az-en,-0.466727732338
sq-en,az-en,-0.238768554086
sr-en,az-en,-0.249838111087
st-en,az-en,-0.40238101744
su-en,az-en,-0.415440118086
sv-en,az-en,-0.119048871465
sw-en,az-en,-0.462389553267
ta-en,az-en,-0.240416923965
te-en,az-en,-0.213165728934
tg-en,az-en,-0.338245218439
th-en,az-en,-0.183045945333
tl-en,az-en,-0.256157903658
tr-en,az-en,-0.190540498707
uk-en,az-en,-0.16059081682
ur-en,az-en,-0.191029103123
uz-en,az-en,-0.281692836797
vi-en,az-en,-0.254449424724
xh-en,az-en,-0.437543745965
yi-en,az-en,-0.104890065359
yo-en,az-en,-0.570088324401
zh-en,az-en,-0.146368744444
zu-en,az-en,-0.417292182718
af-en,gd-en,-0.855349360527
am-en,gd-en,-0.944927764874
ar-en,gd-en,-0.885569493794
az-en,gd-en,-0.904487198541
be-en,gd-en,-0.849301123311
bg-en,gd-en,-0.825273618608
bn-en,gd-en,-0.909391306151
bs-en,gd-en,-0.925120210293
ca-en,gd-en,-0.900343087107
ceb-en,gd-en,-0.800450426278
co-en,gd-en,-0.923892768345
cs-en,gd-en,-0.903678489236
cy-en,gd-en,-0.871863696875
da-en,gd-en,-0.904934653154
de-en,gd-en,-0.83973017107
el-en,gd-en,-0.82191713209
eo-en,gd-en,-0.929541095035
es-en,gd-en,-0.921034187336
et-en,gd-en,-0.917118836734
eu-en,gd-en,-0.8937960339
fa-en,gd-en,-0.799093178348
fi-en,gd-en,-0.918394363608
fr-en,gd-en,-0.875359636509
fy-en,gd-en,-0.903630844756
ga-en,gd-en,-0.641204470996
gd-en,gd-en,-0.0528903835166
gl-en,gd-en,-0.894769113351
gu-en,gd-en,-0.897887550558
ha-en,gd-en,-0.858034120499
haw-en,gd-en,-0.813859875142
hi-en,gd-en,-0.828683901363
hmn-en,gd-en,-0.753311540386
hr-en,gd-en,-0.926666569109
ht-en,gd-en,-0.904257985174
hu-en,gd-en,-0.906738308692
hy-en,gd-en,-0.959581336522
id-en,gd-en,-0.800052967337
ig-en,gd-en,-0.814929912365
is-en,gd-en,-0.890664481338
it-en,gd-en,-0.91499315196
iw-en,gd-en,-0.956279509229
ja-en,gd-en,-0.79867163355
jw-en,gd-en,-0.875675026586
ka-en,gd-en,-0.912420075865
kk-en,gd-en,-0.900147326855
km-en,gd-en,-0.846347506398
kn-en,gd-en,-0.937277715749
ko-en,gd-en,-0.815281175051
ku-en,gd-en,-0.855211651854
ky-en,gd-en,-0.910737059958
lb-en,gd-en,-0.905461909977
lo-en,gd-en,-0.784092392757
lt-en,gd-en,-0.916930439933
lv-en,gd-en,-0.91279470274
mg-en,gd-en,-0.826741649627
mi-en,gd-en,-0.826414817412
mk-en,gd-en,-0.822035077468
ml-en,gd-en,-0.957295044245
mn-en,gd-en,-0.864717281579
mr-en,gd-en,-0.905510497945
ms-en,gd-en,-0.784160758934
mt-en,gd-en,-0.888885519413
my-en,gd-en,-0.863911034013
ne-en,gd-en,-0.893479436546
nl-en,gd-en,-0.823155334934
no-en,gd-en,-0.899054614508
ny-en,gd-en,-0.775645509349
pa-en,gd-en,-0.898017760298
pl-en,gd-en,-0.911509825861
ps-en,gd-en,-0.924161252902
pt-en,gd-en,-0.882002567772
ro-en,gd-en,-0.908155334534
ru-en,gd-en,-0.766014260352
sd-en,gd-en,-0.947351007956
si-en,gd-en,-0.949967640767
sk-en,gd-en,-0.904495532215
sl-en,gd-en,-0.910965609911
sm-en,gd-en,-0.873234379958
sn-en,gd-en,-0.864182132264
so-en,gd-en,-0.865512613863
sq-en,gd-en,-0.885900063694
sr-en,gd-en,-0.895803313215
st-en,gd-en,-0.863979052996
su-en,gd-en,-0.862572875244
sv-en,gd-en,-0.907697024644
sw-en,gd-en,-0.888973702858
ta-en,gd-en,-0.945184720758
te-en,gd-en,-0.920156767747
tg-en,gd-en,-0.863186286419
th-en,gd-en,-0.757836329717
tl-en,gd-en,-0.820764442935
tr-en,gd-en,-0.949277414455
uk-en,gd-en,-0.84809758615
ur-en,gd-en,-0.858442263562
uz-en,gd-en,-0.908299010239
vi-en,gd-en,-0.856717185487
xh-en,gd-en,-0.932910223786
yi-en,gd-en,-0.857387825967
yo-en,gd-en,-0.865564710255
zh-en,gd-en,-0.691268795234
zu-en,gd-en,-0.901376338639
af-en,ar-en,-0.10107408422
am-en,ar-en,-0.417997884137
ar-en,ar-en,0.096301716441
az-en,ar-en,-0.267465784941
be-en,ar-en,-0.157620524953
bg-en,ar-en,-0.0827069440397
bn-en,ar-en,-0.467874176549
bs-en,ar-en,-0.0954623011665
ca-en,ar-en,-0.22602468394
ceb-en,ar-en,-0.190159686826
co-en,ar-en,-0.398706926176
cs-en,ar-en,-0.0867246082823
cy-en,ar-en,-0.102238050646
da-en,ar-en,-0.0654141715064
de-en,ar-en,-0.246235425256
el-en,ar-en,-0.0879939735068
eo-en,ar-en,-0.0964042517402
es-en,ar-en,-0.587054562283
et-en,ar-en,-0.170061828698
eu-en,ar-en,-0.243239615312
fa-en,ar-en,-0.322395954655
fi-en,ar-en,-0.116035746106
fr-en,ar-en,-0.780087225662
fy-en,ar-en,-0.457714091324
ga-en,ar-en,-0.1763211653
gd-en,ar-en,-0.174519426486
gl-en,ar-en,-0.170145849804
gu-en,ar-en,-0.363335097984
ha-en,ar-en,-0.260209866941
haw-en,ar-en,-0.237467849924
hi-en,ar-en,-0.207371814503
hmn-en,ar-en,-0.134434111346
hr-en,ar-en,-0.100779363163
ht-en,ar-en,-0.152879923844
hu-en,ar-en,-0.156852885404
hy-en,ar-en,-0.200678112397
id-en,ar-en,-0.0789416048419
ig-en,ar-en,-0.152441554327
is-en,ar-en,-0.0970884384325
it-en,ar-en,-0.263471704036
iw-en,ar-en,-0.230095258212
ja-en,ar-en,-0.257971078156
jw-en,ar-en,-0.25264430931
ka-en,ar-en,-0.2593058179
kk-en,ar-en,-0.24602365957
km-en,ar-en,-0.118743032313
kn-en,ar-en,-0.390594661739
ko-en,ar-en,-0.221084633427
ku-en,ar-en,-0.522695472591
ky-en,ar-en,-0.300560987858
lb-en,ar-en,-0.333298522131
lo-en,ar-en,-0.156363860229
lt-en,ar-en,-0.161216591193
lv-en,ar-en,-0.138600989622
mg-en,ar-en,-0.239559043884
mi-en,ar-en,-0.195138377763
mk-en,ar-en,-0.0715088821161
ml-en,ar-en,-0.397083786872
mn-en,ar-en,-0.306012713397
mr-en,ar-en,-0.297856643187
ms-en,ar-en,-0.0908499499617
mt-en,ar-en,-0.122195763558
my-en,ar-en,-0.423186969889
ne-en,ar-en,-0.363271579543
nl-en,ar-en,-0.116157263267
no-en,ar-en,-0.0614578955784
ny-en,ar-en,-0.239539144564
pa-en,ar-en,-0.323564333768
pl-en,ar-en,-0.104423605355
ps-en,ar-en,-0.601363060919
pt-en,ar-en,-0.117671653429
ro-en,ar-en,-0.0976368528131
ru-en,ar-en,-0.0992458695635
sd-en,ar-en,-0.698241145814
si-en,ar-en,-0.422620279638
sk-en,ar-en,-0.113002265409
sl-en,ar-en,-0.137576420148
sm-en,ar-en,-0.315544553818
sn-en,ar-en,-0.361824109634
so-en,ar-en,-0.258057545073
sq-en,ar-en,-0.0802617419021
sr-en,ar-en,-0.247697393789
st-en,ar-en,-0.223396341004
su-en,ar-en,-0.249293224333
sv-en,ar-en,-0.0641456458709
sw-en,ar-en,-0.222746827232
ta-en,ar-en,-0.49757077268
te-en,ar-en,-0.394960348878
tg-en,ar-en,-0.26223727647
th-en,ar-en,-0.118666594236
tl-en,ar-en,-0.0964568129289
tr-en,ar-en,-0.234444813803
uk-en,ar-en,-0.0987820389418
ur-en,ar-en,-0.35900405816
uz-en,ar-en,-0.276082139272
vi-en,ar-en,-0.0889096752768
xh-en,ar-en,-0.217931834195
yi-en,ar-en,-0.173253543809
yo-en,ar-en,-0.168422973618
zh-en,ar-en,-0.157970451358
zu-en,ar-en,-0.210677123391
af-en,uz-en,-0.873180926298
am-en,uz-en,-0.846779694816
ar-en,uz-en,-0.924234742725
az-en,uz-en,-0.197170890187
be-en,uz-en,-0.778515571388
bg-en,uz-en,-0.64460131349
bn-en,uz-en,-0.892369822261
bs-en,uz-en,-0.867994688902
ca-en,uz-en,-0.899169053578
ceb-en,uz-en,-0.853425269716
co-en,uz-en,-0.930319559429
cs-en,uz-en,-0.851452953227
cy-en,uz-en,-0.927443078946
da-en,uz-en,-0.894217994184
de-en,uz-en,-0.838865972378
el-en,uz-en,-0.716824625336
eo-en,uz-en,-0.919343197659
es-en,uz-en,-0.892793707793
et-en,uz-en,-0.883947769173
eu-en,uz-en,-0.876497486374
fa-en,uz-en,-0.625519839494
fi-en,uz-en,-0.901646757436
fr-en,uz-en,-0.892185752074
fy-en,uz-en,-0.899678304397
ga-en,uz-en,-0.920495833855
gd-en,uz-en,-0.916031447779
gl-en,uz-en,-0.895571025297
gu-en,uz-en,-0.899786552828
ha-en,uz-en,-0.852480805898
haw-en,uz-en,-0.829307519256
hi-en,uz-en,-0.71332868414
hmn-en,uz-en,-0.815947957979
hr-en,uz-en,-0.87518907317
ht-en,uz-en,-0.915107341133
hu-en,uz-en,-0.869347136308
hy-en,uz-en,-0.7283714841
id-en,uz-en,-0.777711786122
ig-en,uz-en,-0.816471777211
is-en,uz-en,-0.886225941721
it-en,uz-en,-0.912055062725
iw-en,uz-en,-0.838229567342
ja-en,uz-en,-0.547111130514
jw-en,uz-en,-0.853271703766
ka-en,uz-en,-0.753022870168
kk-en,uz-en,-0.48107587476
km-en,uz-en,-0.783889285829
kn-en,uz-en,-0.933381978359
ko-en,uz-en,-0.704122235776
ku-en,uz-en,-0.851906396282
ky-en,uz-en,-0.485931229369
lb-en,uz-en,-0.913257949224
lo-en,uz-en,-0.797477417368
lt-en,uz-en,-0.891225683762
lv-en,uz-en,-0.893172812004
mg-en,uz-en,-0.812791097892
mi-en,uz-en,-0.834430123532
mk-en,uz-en,-0.688653857142
ml-en,uz-en,-0.931475771015
mn-en,uz-en,-0.710347273367
mr-en,uz-en,-1.0
ms-en,uz-en,-0.765374438455
mt-en,uz-en,-0.891495146854
my-en,uz-en,-0.781532477276
ne-en,uz-en,-0.817440989693
nl-en,uz-en,-0.871633077448
no-en,uz-en,-0.883857454645
ny-en,uz-en,-0.794903965512
pa-en,uz-en,-1.0
pl-en,uz-en,-0.888259769454
ps-en,uz-en,-0.851783585761
pt-en,uz-en,-0.889219367641
ro-en,uz-en,-0.897197344636
ru-en,uz-en,-0.511249647275
sd-en,uz-en,-1.0
si-en,uz-en,-0.847783256712
sk-en,uz-en,-0.857600480785
sl-en,uz-en,-0.877576146563
sm-en,uz-en,-0.879992288269
sn-en,uz-en,-0.866227275112
so-en,uz-en,-0.885476995046
sq-en,uz-en,-0.859834435279
sr-en,uz-en,-0.797993129262
st-en,uz-en,-0.869158383939
su-en,uz-en,-0.843452187682
sv-en,uz-en,-0.904428191822
sw-en,uz-en,-0.886035421906
ta-en,uz-en,-0.926395423633
te-en,uz-en,-0.873170518507
tg-en,uz-en,-0.713846846954
th-en,uz-en,-0.71374862705
tl-en,uz-en,-0.867012430511
tr-en,uz-en,-0.159437656773
uk-en,uz-en,-0.740775718572
ur-en,uz-en,-1.0
uz-en,uz-en,-0.0165321342031
vi-en,uz-en,-0.764070705965
xh-en,uz-en,-0.930364966333
yi-en,uz-en,-0.843017568753
yo-en,uz-en,-0.866446777348
zh-en,uz-en,-0.581054101068
zu-en,uz-en,-0.903084996632
af-en,es-en,-0.3572744324
am-en,es-en,-0.734957297424
ar-en,es-en,-0.418308587678
az-en,es-en,-0.760270867189
be-en,es-en,-0.56556884823
bg-en,es-en,-0.263651700381
bn-en,es-en,-0.89628696101
bs-en,es-en,-0.597612173547
ca-en,es-en,-0.239139320516
ceb-en,es-en,-0.633478062753
co-en,es-en,-0.550368536697
cs-en,es-en,-0.561199016329
cy-en,es-en,-0.727472817711
da-en,es-en,-0.417123408577
de-en,es-en,-0.29474752995
el-en,es-en,-0.327802907549
eo-en,es-en,-0.732511466981
es-en,es-en,0.0695236555537
et-en,es-en,-0.842729972269
eu-en,es-en,-0.797828520982
fa-en,es-en,-0.483503974582
fi-en,es-en,-0.782456237773
fr-en,es-en,-0.23209678666
fy-en,es-en,-0.731509655946
ga-en,es-en,-0.794015098837
gd-en,es-en,-0.857952842882
gl-en,es-en,-0.132395562505
gu-en,es-en,-0.899336299858
ha-en,es-en,-0.832941872575
haw-en,es-en,-0.775963882211
hi-en,es-en,-0.618449982081
hmn-en,es-en,-0.525797487467
hr-en,es-en,-0.605511823104
ht-en,es-en,-0.730170990413
hu-en,es-en,-0.781469798206
hy-en,es-en,-0.74242799844
id-en,es-en,-0.509340372002
ig-en,es-en,-0.641950235991
is-en,es-en,-0.531444429472
it-en,es-en,-0.341852325118
iw-en,es-en,-0.65520082379
ja-en,es-en,-0.469749496701
jw-en,es-en,-0.757870690759
ka-en,es-en,-0.755507022671
kk-en,es-en,-0.675512564338
km-en,es-en,-0.543651577545
kn-en,es-en,-0.938934958288
ko-en,es-en,-0.497499636833
ku-en,es-en,-0.828226737234
ky-en,es-en,-0.783206241772
lb-en,es-en,-0.523298702397
lo-en,es-en,-0.650580894741
lt-en,es-en,-0.818255146057
lv-en,es-en,-0.832768755496
mg-en,es-en,-0.75903842608
mi-en,es-en,-0.74323759145
mk-en,es-en,-0.26788812381
ml-en,es-en,-0.980956412389
mn-en,es-en,-0.718696777668
mr-en,es-en,-0.925760268333
ms-en,es-en,-0.521759314405
mt-en,es-en,-0.510499911864
my-en,es-en,-0.836913313252
ne-en,es-en,-0.820860900031
nl-en,es-en,-0.302545084265
no-en,es-en,-0.407328133537
ny-en,es-en,-0.721901294351
pa-en,es-en,-0.923093580472
pl-en,es-en,-0.600345500523
ps-en,es-en,-0.802313850036
pt-en,es-en,-0.233227029119
ro-en,es-en,-0.49604688545
ru-en,es-en,-0.28522624572
sd-en,es-en,-0.933091209758
si-en,es-en,-0.960881384865
sk-en,es-en,-0.591888730052
sl-en,es-en,-0.665157924124
sm-en,es-en,-0.831695005617
sn-en,es-en,-0.853446558847
so-en,es-en,-0.759215289178
sq-en,es-en,-0.516356344506
sr-en,es-en,-0.621774029222
st-en,es-en,-0.842755194314
su-en,es-en,-0.732391642506
sv-en,es-en,-0.456164896345
sw-en,es-en,-0.796304949465
ta-en,es-en,-0.949782614746
te-en,es-en,-0.888356925559
tg-en,es-en,-0.702249984747
th-en,es-en,-0.424911712449
tl-en,es-en,-0.611656055579
tr-en,es-en,-0.785666187964
uk-en,es-en,-0.56960575601
ur-en,es-en,-0.692262741749
uz-en,es-en,-0.810180655632
vi-en,es-en,-0.466222631254
xh-en,es-en,-0.756858406085
yi-en,es-en,-0.492260061561
yo-en,es-en,-0.781935175598
zh-en,es-en,-0.35787388835
zu-en,es-en,-0.685221677735
